a few;کمی
revile;بدزبانی کردن ، ناسزا گفتن
revise;تجدید نظر کردن
revisit;دوباره ملاقات کردن
revival;تجدد ، بهوش آوری ، استقرارمجدد ، احیا ، احیاء
revive;احیاء کردن ، احیا کردن ، دوباره دایر شدن ، بهوش آمدن ، نیروی تازه دادن ، باز جان بخشیدن ، بهوش آوردن ، احیا شدن
reviver;احیا کننده ، بهوش آورنده
reviviscence;نیرو بخشی ، زنده سازی
revocable;قابل فسخ ، رجعی ، ابطال پذیر
revokable;قابل فسخ
revoke;سلب کردن
revoker;فسخ کننده
revolt;شوریدن ، اظهار تنفر کردن ، اغتشاش ، اغتشاش کردن ، بغی ، طغیان ، قیام کردن ، بهم خوردگی
revolute;لب برگشته
revolution;انقلاب
revolutionary;شورش طلب ، انقلابی ، شورش طلب ، آشوبی ، آشوبگر
revolutionist;واگشت گر
revolutionize;تغییرات اساسی دادن ، انقلابی کردن
revolutionizer;انقلاب آور
revolve;دور زدن
revolver;رولور ، رولور ، هفت تیر ، ششلول
revolving;دورانی ، گردنده ، دوار ، گردنده
revolving credit;اعتبار گردان
revolving fund;تنخواه گردان
revue;نمایشنامه انتقادی ، جنگ نمایش
revulsion;ردع ، تصریف
rewaed;مژدگانی دادن
rewake;دوباره بیدار کردن
reward;مژدگانی ، جایزه ، عوض دادن ، مژده ، اجر ، پاداش دادن ، ثواب ، اجر دادن ، پاداش ، تلافی
rewardable;پاداش دادنی
rewarder;دیان
rewards;جوایز
rewind;باز پیچی ، باز پیچیدن
rewrite;دوباره نوشتن ، باز نویسی
rey;ری
reyhaneh;ریحانه
reza;رضا
reza ali;رضاعلی
rhapsodic;یونان باستان
rhapsodist;مصنف راپسودی
rhashti;رشتی
rheem;رحیم
rheostat;رئوستا
rhetoric;لفاظی ، معانی بیان ، معانی بیانی ، علم بدیع ، خطابت ، معانی بیان
rhetorical;بیانی ، بحثی
rheum;سرما خوردگی ، درد رماتیسم
rheumatic;روماتیسمی
rheumatizm;روماتیسم
rheumatology;روماتیسم شناسی
rhinencephalon;مرکز شامه
rhino;قایق باربر
rhizogenesis;ریشه زایی
rhizogenic;ریشه زا
rhizomorphous;ریشه مانند
rhizophagous;ریشه خوار
rhizopod;ریشه پایی
rhizopodous;ریشه پای
rhodomontade;لاف زنی
rhomb;معین
rhubarb;ریواس ، ریوند
rhumer;قافیه پرداز
rhyme;پساوند ، قافیه ساختن ، شعر گفتن ، هم قافیه شدن
rhyme scheme;قافیه بندی
rhymester;قافیه ساز
rhythm;نواخت ، آهنگ موزون ، ضرب ، سجع
rhythmic;مسجع ، پرنواخت
rhythmical;ضربی
rhythmicity;نواخت داری ، پر نواختی
rhythmization;نواخت پردازی
rial;ریال ، ریالی
rialto;مرکز معاملات
rib;گوشت دنده ، دنده دار کردن ، دنده ، مرز گذاشتن ، نهر کندن
rib cage;قفسه سینه ، قفسه صدری
ribbon;روبان ، نوار
ribby;شبیه دنده
ricardo;ریکاردو
rice;برنج
rice field;شالی زار ، برنج زار
rice merchant;رزاز
rice paper;کاغذ نازک ، کاغذ برنج
rice patty;برنج زار
rice pudding;فرنی ، شیر برنج
rice water;آب چلو
rich;ثروتمند ، ثروتمند ، توانگر ، پولدار ، غنی ، دارا ، محتشم ، منعم ، وسیله ثروتمندی ، غنی کردن ، پر پشت ، متمکن ، متمول ، دولتمند ، پردرآمد
rich in fat;چرب
rich person;بالانشین ، دارا
richard;ریچارد
richard butler;ریچارد باتلر
richard clancer;ریچارد کلانسر
richard noris;ریچارد نوریس
richen;غنی تر کردن
riches;غنا ، مال و منال
richness;خرپولی
richter scale;درجه ریشتری
rick;خرپول
ricochet;کمانه کردن ، کمانه
rictal;چاک دار
rictus;چاک دهان ، گشادی دهان
rid;خلاص کردن ، رهانیدن از
riddle;لغز ، سوراخ سوراخ کردن ، چیستان ، معما ، غربیل ، غربال کردن
riddler;معماگو ، لغز گو
ride;سوار شدن ، سواری کردن ، گردش سواره ، مرکب ، مرکوب
rider;الحاقیه ، سوار ، سوار کار ، راکب
ridge;مرز بندی کردن ، خرپشته
ridgy;لبه دار
ridicule;استهزا ، ریشخند ، تمسخر کردن ، مسخره کردن ، ریشخند کردن
ridiculous;مسخره آمیز ، مسخره آمیز ، مضحک
riding;لنگر گاه ، سواری
riding on;سوار بر
riesling;شراب سفید
rifle;عده تفنگدار ، تفنگ
riflery;استعمال تفنگ ، تفنگداری
rift;شکاف دهنده ، شکاف
rig;وضع حاضر
righfulness;حقانیت
right;یمین ، سزاوار ، سدید ، حق ، یمین
right angle;زاویه قائمه
right of preemption;شففعه
right of way;حق تقدم
right to vote;حق رای
right wing;جناح راست
right winger;جناح راستی
righteous;صالح ، عادلانه ، دادگر ، شاهنده ، درست کار ، عادلانه ، نیکو کار ، دادار
righteously;عادلانه
righteousness;حق گذاری
rightful;حقه ، حقدار ، ذیحق ، حقانی ، دارای استحقاق ، محق ، ذی حق
rightism;جناح راستی
rightist;جناح راستی
rightly;بطور صحیح
rights;حقوق
rigid;نرم نشو
rill;جوی کوچک
rillet;نهر کوچک
rim;قاب عینک ، کمانه ، لب دار کردن ، زهوار گذاشتن ، دوره دار کردن ، زهوار
rima;ریما
rime;قافیه دار کردن ، یخ زدگی ، سرما ریزه
rimed;مقفی
rimer;قافیه پرداز
rimester;قافیه ساز
rimose;چاک چاک
rimous;چاک چاک
rimy;قافیه دار
rind;پوست
ring;زنگ زدن ، رینگ ، انگشتر ، طنین انداختن ، حلقه
ring leader;سرحلقه
ring spanner;آچر قاشقی
ring-shaped;حلقهای ، حلقهای ، حلقه وار ، حلقوی
ringdove;طوقی
ringed;حلقه دار ، حلقه حلقه
ringer;طنین انداز
ringleader;سر دسته ، رهبر شورشیان ، سر حلقه
ringlet;طره
ringneck;کبوتر طوقی
ringnecked;طوق دار
rinse;آب کشیدن
rinse mouth;مضمضه کردن
rinse the mouth;غر غره کردن
rinser;شستشو کننده
rinsing;غر غره ، مظمظه
rio;ریو
rio de janeiro;ریودوژانیرو
riot;غائله ، غوغا ، شورش کردن ، هرج ، شورش ، آشوب ، شلوغ کردن ، بلوا ، اغتشاش کردن
rioter;بلواگر
riotous;غوغائی ، آشوبگرانه ، پر آشوب
rip;چاک خوردن ، درانیدن ، چاک زدن ، چاک دادن
rip off;تیغ زدن
rip roaring;هیجان انگیر
riparian;ساحل رودخانه زی
ripe;رسیده ، جا افتاده ، رسیده شدن ، چیدنی
ripen;نضج گرفتن
ripeness;رسیدگی
ripening;نضج
riposte;ضربه متقابل زدن
ripped;شکافته
ripper;چاک دهنده
ripple;موج دار شدن ، آب کوهه
ripple mark;شیارسطح چوب
riprap;سنگریزی کردن
ripsnorting;فوق العاده
rise;برپا شدن ، بالا رفتن ، خاستن ، تصاعد کردن ، صعود ، طلوع کردن ، ترقی کردن ، ترقی دادن ، بلند شدن ، طلوع ، ور آمدن ، بالا آمدن ، تصاعد ، بر خیزاندن ، ببالا رفتن ، بر آمدن ، بر خاستن ، متصاعد شدن
risen;خاسته
riser;سحر خیز ، بلند شونده ، برخیزنده
rising;صاعد ، برخاست ، طالع ، بالارونده ، بالارو ، قیام ، بالاروی
risk;گشاد بازی ، خطر بودن ، خطر ، ریسک
risking all;پاکباز
risky;پر مخاطره ، پرمخاطره ، مخاطرهآمیز ، ریسک دار
rita;ریتا
rita crawford;ریتا کرافورد
rite;فرمان اساسی
ritual;آداب نماز
ritualize;تشریفاتی کردن
ritzy;شیک پوش
rival;رقیب شدن ، همآورد ، حریف ، هم چشمی ، هم چشم ، هم چشم ، هم آورد ، رقیب ، هم آویز ، رقیب
rivalry;هم آوری ، همچشمی ، رقابت
rivals;رقبا
river;رود ، رودخانه ، رودخانه ای
river basin;آبگیر
riverbed;وادی ، بستر رودخانه
riverine;رودی ، سواحل رودخانه ، رود مانند ، رودخانهای
rivet;پرچه ، پرچ کردن ، بهم میخ زدن ، پر چین کردن
riveter;پرچ کننده
rivulet;نهر کوچک ، جوی کوچک
riyadh;ریاض
roach;سوسک حمام ، ماهی ریزقنات
road;جاده ، خیابان ، معبر ، ره ، راه
road construction;احداث جاده ، راه سازی
road curve;خم جاده
road guard;راهدار ، راهدار
road roller;جاده صاف کن
road-book;راهنامه
road-guard;راهبان
road-map;راهنامه
roadability;درمورد اتومبیل
roadbed;کف خیابان ، کف جاده
roadless;بی جاده ، بدون جاده
roads;شوراع
roadside;کنار جاده
roadstead;کشتی گاه
roadway;سواره رو ، زمین جاده ، شوسه ، وسط خیابان
roam;پرسه زدن
roaming;پرسه
roan;تیماج ، سرخ تیره ، زرپور
roan horse;اسب قزل
roar;غرش ، غرش کردن ، غریو ، نعره ، غریدن ، خروشان کردن ، خروشیدن
roarer;غرش کننده
roaring;خروش ، خروشان
roast;بریان کردن ، بریان شدن ، برشتن ، سرخ کردن ، کباب کردن ، برشته کردن ، برشته شدن
roasted;برشته
roasted meat;متنجن
roasted pluck;جغور بغور
roaster;سرخ کننده
rob;دستبرد زدن ، لخت کردن
rob frazer;راب فریزر
rob malley;راب مالی
robab;رباب
robabeh;ربابه
robbed;غارت زده
robber;رباینده ، چپاولگر ، چپاولگر ، غارتگر ، غارتگر ، رباینده
robbery;دزدی ، غارتگری
robe;حله ، خرقه
robert fitz patrick;روبرت فیتس پاتریک
robert thomas hunter;رابرت تاماس هانتر
roberto;روبوت
roberto kalti tornio;روبرتو کالتی ترونیو
robertson;رابرتسون
robin cook;رابین کوک
robot;آدم مکانیکی
robust;قوی هیکل ، هیکل دار
rock;سنگ ، تکان نوسانی دادن ، صخره ، سنگ خاره ، سنگ پاره
rockbound;سنگ بست
rocker;روروک ، صندلی گهواره ای ، غلتانک
rocket;فشفشه ، موشک وار رفتن ، راکت ، موشک
rocking chair;صندلی گهواره ای ، صندلی تاب
rocky;صخرهای ، پرسنگ ، پرصخره ، پرصلابت ، سنگلاخ ، سنگی
rod;میله ، میل
rod-shaped;بشکل میله
roden;رودن
